               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1264,            0.036608,            0.032274,           0.0036496,            0.083333,           0.0039532,            0.001186,            0.086169,            0.026217,            0.021579,              0.0982,              0.0002,              0.0002
                   1,             0.12142,            0.038372,            0.031964,           0.0034722,            0.083333,           0.0045081,           0.0013524,            0.085173,            0.025953,            0.021426,            0.095495,          0.00049505,          0.00049505
                   2,             0.11803,            0.037533,            0.031139,            0.003268,            0.083333,           0.0045401,            0.001362,            0.083609,            0.025594,            0.021164,            0.092784,          0.00078416,          0.00078416
                   3,              0.1157,            0.040139,            0.031183,           0.0031646,            0.083333,           0.0039851,           0.0011789,            0.081023,            0.025137,            0.020779,            0.090067,           0.0010673,           0.0010673
                   4,            0.096484,            0.043131,            0.031364,           0.0049891,                0.25,            0.087139,           0.0093257,            0.075263,            0.025162,            0.020338,            0.087345,           0.0013446,           0.0013446
                   5,            0.094229,             0.03741,            0.033766,           0.0050172,                0.25,             0.03246,           0.0041186,             0.06774,            0.025561,            0.020019,            0.084616,           0.0016158,           0.0016158
                   6,            0.089513,            0.037925,            0.032123,           0.0049687,                0.25,              0.0263,           0.0068133,            0.057524,            0.026172,            0.019637,            0.081881,           0.0018812,           0.0018812
                   7,            0.089641,            0.047697,            0.029321,           0.0049687,                0.25,            0.032897,           0.0079426,            0.052689,            0.026562,            0.019414,            0.079141,           0.0021406,           0.0021406
                   8,            0.084303,            0.041272,            0.029706,           0.0066774,             0.33333,            0.031809,           0.0092725,              0.0403,            0.027092,            0.019351,            0.076394,           0.0023941,           0.0023941
                   9,            0.079582,             0.05026,            0.029255,            0.005048,                0.25,            0.053078,            0.010807,            0.037609,             0.02662,            0.019314,            0.073642,           0.0026416,           0.0026416
                  10,             0.07469,            0.047502,            0.028106,            0.041189,                0.25,             0.11498,            0.026145,            0.037932,            0.024533,            0.017939,            0.070883,           0.0028832,           0.0028832
                  11,            0.074957,             0.04511,            0.027108,             0.27211,             0.16667,             0.12053,            0.032373,            0.037345,            0.024172,            0.018155,            0.068119,           0.0031189,           0.0031189
                  12,            0.069746,            0.046189,            0.027648,             0.24408,            0.083333,              0.1309,            0.037652,            0.036196,            0.022921,            0.017818,            0.065349,           0.0033486,           0.0033486
                  13,            0.066445,            0.047859,            0.025653,             0.10171,                0.25,             0.16251,            0.055221,            0.033247,            0.023001,            0.017972,            0.062572,           0.0035723,           0.0035723
                  14,            0.063349,            0.038071,            0.026038,             0.33752,             0.33333,             0.33893,             0.16724,            0.031914,            0.023335,            0.018179,             0.05979,           0.0037902,           0.0037902
                  15,            0.061157,            0.038772,            0.024601,             0.28031,             0.41667,             0.28975,             0.16905,            0.037019,            0.023557,            0.018422,            0.057002,           0.0040021,           0.0040021
                  16,             0.06198,             0.04283,            0.023604,             0.27575,             0.41667,             0.36737,             0.16663,            0.029596,            0.028218,            0.018561,            0.054208,            0.004208,            0.004208
                  17,            0.062595,            0.036493,            0.026121,             0.10939,             0.87054,             0.20031,            0.092831,            0.037078,             0.02782,            0.018473,            0.051408,            0.004408,            0.004408
                  18,            0.063277,            0.041494,             0.02667,              0.2109,             0.41667,             0.30977,             0.14042,            0.035784,            0.024892,            0.018287,            0.048602,           0.0046021,           0.0046021
                  19,            0.056319,            0.034346,            0.021053,             0.23432,                0.75,             0.36026,             0.11869,            0.038459,            0.022716,            0.018781,             0.04579,           0.0047902,           0.0047902
                  20,            0.061471,            0.038525,             0.02479,              0.2676,                0.75,             0.36912,             0.17764,            0.032897,            0.021189,            0.018909,            0.042972,           0.0049724,           0.0049724
                  21,            0.047271,            0.036943,            0.019844,             0.26183,             0.57277,             0.34431,            0.094522,              0.0496,            0.020282,            0.019123,            0.040149,           0.0051487,           0.0051487
                  22,            0.065866,            0.028964,             0.02519,             0.19958,                 0.5,             0.32894,             0.15752,            0.034303,            0.019149,            0.019193,            0.037319,            0.005319,            0.005319
                  23,            0.058535,            0.040216,            0.025505,             0.20732,             0.41667,             0.32406,             0.13392,            0.042425,            0.017904,            0.018917,            0.034483,           0.0054833,           0.0054833
                  24,            0.063594,            0.031593,            0.025567,             0.38651,             0.44266,              0.3767,             0.13023,            0.041668,            0.016879,            0.019167,            0.031642,           0.0056418,           0.0056418
                  25,            0.066026,             0.03129,            0.024065,             0.28831,             0.41667,             0.37513,             0.17025,              0.0353,            0.016527,            0.018419,            0.028794,           0.0057942,           0.0057942
                  26,             0.05719,            0.039323,            0.024315,             0.25497,             0.33333,             0.31776,             0.11582,            0.041192,            0.016609,            0.018246,            0.025941,           0.0059408,           0.0059408
                  27,            0.063193,            0.030335,            0.020345,             0.69687,             0.33333,              0.4837,             0.12257,            0.034978,            0.016326,            0.017939,            0.023081,           0.0060814,           0.0060814
                  28,            0.053429,            0.036344,            0.023143,             0.69687,             0.33333,              0.4837,             0.12257,            0.034978,            0.016326,            0.017939,            0.020216,           0.0062161,           0.0062161
                  29,            0.050147,            0.033312,            0.024535,             0.70953,             0.33333,             0.50366,             0.20667,            0.028935,            0.016357,            0.017452,            0.017345,           0.0063448,           0.0063448
                  30,            0.050383,            0.036727,             0.02138,             0.32274,                0.25,             0.25686,             0.16058,            0.037963,            0.015029,            0.017164,            0.014468,           0.0064676,           0.0064676
                  31,            0.048329,            0.031572,            0.020432,             0.26585,             0.53507,             0.38353,             0.20009,            0.030976,            0.016125,            0.016913,            0.011584,           0.0065844,           0.0065844
                  32,            0.053017,            0.036759,            0.020553,             0.26585,             0.53507,             0.38353,             0.20009,            0.030976,            0.016125,            0.016913,           0.0086954,           0.0066954,           0.0066954
                  33,            0.050541,            0.033981,             0.02425,             0.34703,             0.41007,             0.40908,             0.18296,             0.02665,            0.015793,            0.017178,            0.006733,            0.006733,            0.006733
                  34,            0.046057,            0.032284,            0.022344,             0.25664,             0.33333,             0.21296,              0.1075,            0.039861,            0.015306,            0.017149,            0.006733,            0.006733,            0.006733
                  35,            0.054928,            0.034688,            0.021542,             0.56127,             0.31409,             0.36735,             0.15975,             0.03352,            0.015509,            0.016963,            0.006634,            0.006634,            0.006634
                  36,            0.050038,            0.036832,            0.021205,             0.56127,             0.31409,             0.36735,             0.15975,             0.03352,            0.015509,            0.016963,            0.006535,            0.006535,            0.006535
